Logged: CPU 0.0% | RAM 18.1% for ubuntulab01
Logged: CPU 0.5% | RAM 17.3% for ubuntulab01
Logged: CPU 0.5% | RAM 17.4% for ubuntulab01
Logged: CPU 0.0% | RAM 17.2% for ubuntulab01
Logged: CPU 0.0% | RAM 17.5% for ubuntulab01
Logged: CPU 0.0% | RAM 18.0% for ubuntulab01
Logged: CPU 1.0% | RAM 17.2% for ubuntulab01
Logged: CPU 0.0% | RAM 17.1% for ubuntulab01
Logged: CPU 0.5% | RAM 17.2% for ubuntulab01
Logged: CPU 0.0% | RAM 17.3% for ubuntulab01
Logged: CPU 0.0% | RAM 17.7% for ubuntulab01
Logged: CPU 0.0% | RAM 17.8% for ubuntulab01
Logged: CPU 0.0% | RAM 17.9% for ubuntulab01
Logged: CPU 0.0% | RAM 17.7% for ubuntulab01
Logged: CPU 0.0% | RAM 17.8% for ubuntulab01
Logged: CPU 0.0% | RAM 17.3% for ubuntulab01
Logged: CPU 0.5% | RAM 17.2% for ubuntulab01
Logged: CPU 0.5% | RAM 17.7% for ubuntulab01
Logged: CPU 0.0% | RAM 17.8% for ubuntulab01
Logged: CPU 0.0% | RAM 18.3% for ubuntulab01
Logged: CPU 0.5% | RAM 17.7% for ubuntulab01
Logged: CPU 0.0% | RAM 17.3% for ubuntulab01
Logged: CPU 0.5% | RAM 17.6% for ubuntulab01
Logged: CPU 0.5% | RAM 17.1% for ubuntulab01
Logged: CPU 0.5% | RAM 17.2% for ubuntulab01
Logged: CPU 0.5% | RAM 17.2% for ubuntulab01
Logged: CPU 0.0% | RAM 17.5% for ubuntulab01
Logged: CPU 0.0% | RAM 17.2% for ubuntulab01
Logged: CPU 0.0% | RAM 17.6% for ubuntulab01
Logged: CPU 0.5% | RAM 17.3% for ubuntulab01
Logged: CPU 0.5% | RAM 17.5% for ubuntulab01
Logged: CPU 1.0% | RAM 17.1% for ubuntulab01
Logged: CPU 0.0% | RAM 17.1% for ubuntulab01
Logged: CPU 0.0% | RAM 17.1% for ubuntulab01
Logged: CPU 9.9% | RAM 17.5% for ubuntulab01
Logged: CPU 0.0% | RAM 18.0% for ubuntulab01
Logged: CPU 0.5% | RAM 17.7% for ubuntulab01
Logged: CPU 1.0% | RAM 18.7% for ubuntulab01
Logged: CPU 0.0% | RAM 18.0% for ubuntulab01
Logged: CPU 0.0% | RAM 18.1% for ubuntulab01
Logged: CPU 0.0% | RAM 18.3% for ubuntulab01
Logged: CPU 1.0% | RAM 17.5% for ubuntulab01
